c_id,cus_fname,cus_lname,cus_addr,cus_email,country,gender,title,phone
1,Sandra,Ingram,"215 Miller Gardens Suite 198
Annastad, TX 26483",joelmays@gmail.com,Bouvet Island (Bouvetoya),F,Mrs.,820.488.8249
2,Michelle,Miller,"3398 Alvarez Mission Apt. 858
Jermaineside, AS 31348",bmurphy@hotmail.com,Lithuania,F,Mrs.,690.069.9905x0540
3,Tina,Trevino,"035 Levine Pine Suite 101
Port Scottton, NE 76197",linda54@johnson.com,Slovenia,F,Mrs.,1-548-597-3066x2477
4,Maria,Peterson,"174 Barry Land
Gregoryside, WI 13675",stevenssharon@yahoo.com,Italy,F,Mrs.,370.634.8776
5,Emily,Nunez,"5133 Smith Pine Suite 797
Lisaton, KY 02927",ryannicholas@patterson.com,Cameroon,F,Mrs.,(706)908-6636
6,Ashley,Howell,"97903 Murphy Bypass
Lake Donaldland, MP 32741",alexandrajackson@munoz-rose.com,Lesotho,F,Mrs.,851.400.0354x9535
7,Krista,Thomas,"13842 Manuel Villages Apt. 208
New Paulmouth, MS 09796",bweiss@gmail.com,Iran,F,Mrs.,677-042-4592x0356
8,Breanna,Brown,"0411 Stone Dam Suite 591
Erikashire, CA 92415-0715",vwhitney@robertson.com,Martinique,F,Mrs.,1-391-284-0914
9,Evelyn,Erickson,"117 Stewart Wells Suite 974
East Lisa, NY 70585",bergermichael@hotmail.com,Morocco,F,Mrs.,(683)651-6737x33901
10,Nicole,Gonzales,"37859 Taylor Ville
New Derek, ME 82405-0762",blackwelleric@kelly-lee.com,Azerbaijan,F,Mrs.,(760)825-4892x513
11,Rhonda,Freeman,"189 Burke Pines Apt. 688
Brownshire, TN 47912-8605",theresa90@andrade-sweeney.biz,Poland,F,Mrs.,538-139-6318x919
12,Cathy,Johnson,"1303 Jimmy Locks
Port Nicholas, RI 17820-3991",sabrinacollins@hotmail.com,Andorra,F,Mrs.,116.909.7163x082
13,Sarah,King,"165 Bridges Turnpike
Yvonnechester, PR 50999-6143",ibradford@yahoo.com,United Kingdom,F,Mrs.,115-019-7055x78366
14,Andrea,Franklin,"98960 Adam Mission Apt. 047
New Joseph, ND 99876-3189",rodriguezdaniel@hotmail.com,French Southern Territories,F,Mrs.,089.670.8685x19299
15,Kathryn,Tran,"040 Whitehead Inlet Apt. 172
Hamiltonberg, OK 05949-8199",bowenbarbara@stanley.org,Egypt,F,Mrs.,1-894-802-8256
16,Taylor,Wells,"38289 Richard Knolls
Kennedyshire, HI 50865",kevindavis@holland.com,Mauritania,F,Mrs.,039.064.6998x46426
17,Maria,Green,"5566 Elizabeth Fort Suite 914
Moniquebury, AL 45524-0711",jonesandrew@osborne.com,Zambia,F,Mrs.,(551)102-1410
18,Teresa,Wood,"USS Jackson
FPO AP 80903",dhowell@hotmail.com,Barbados,F,Mrs.,00156912092
