c_id,cus_fname,cus_lname,cus_addr,cus_email,country,gender,title,phone
c000001,Alice,Willis,"221 Jackson Spur
Julieton, LA 44126",bradleynathan@yahoo.com,Philippines,F,Mrs.,(314)258-6367
c000002,Amanda,Ayala,"587 Fields Knolls
Valeriefurt, DC 95183",qroberts@adkins-hanson.com,Italy,F,Mrs.,111-531-7337
c000003,Katrina,Ramsey,"3007 Paul Lodge Apt. 240
South Heidiland, AS 81251-1786",valdezbeth@yahoo.com,El Salvador,F,Mrs.,285-662-3584x683
c000004,Ann,Castillo,"1511 Marissa Wells
Sandyborough, KS 63075-7059",cindynielsen@gmail.com,Falkland Islands (Malvinas),F,Mrs.,644.381.2723x61472
c000005,Lisa,Barnes,"93761 Lynch Green Suite 817
Lake Kimberly, NC 24085",gperry@hotmail.com,Morocco,F,Mrs.,(652)195-7588
c000006,Leah,Martinez,"82992 Catherine Loop Apt. 293
West Karenfort, CT 36511-3526",gregorysolis@greene.com,Turks and Caicos Islands,F,Mrs.,034.788.8371
c000007,Desiree,Nunez,"381 Haley Port Apt. 578
Meyerberg, KS 55254",omorrow@watson.org,Jordan,F,Mrs.,1-603-566-1583x97623
c000008,Valerie,Weber,"51803 Erin Underpass
North Dianaside, FL 14250-6693",jimmy35@hotmail.com,Afghanistan,F,Mrs.,+09(2)4063953536
c000009,Tracy,Brewer,"37408 Montgomery Locks Suite 938
Richardport, MT 39621",ryanroth@fitzgerald.biz,Congo,F,Mrs.,08587752565
c000010,Holly,Cobb,"951 Teresa Lane
South Natalieborough, AR 83945-0797",williammaxwell@hotmail.com,Nepal,F,Mrs.,05917472850
c000011,Diana,Orr,"PSC 1185, Box 9341
APO AE 36692",wcastro@hotmail.com,Bulgaria,F,Mrs.,149.761.8127x5869
c000012,Sylvia,Chang,"9748 Rivera Plaza
Wadetown, IA 93848-8796",ubuchanan@gmail.com,Saudi Arabia,F,Mrs.,460.975.2414x99046
c000013,Michelle,Hatfield,"40649 Morgan Islands Apt. 109
North Brandonport, MT 80681",mmiller@hotmail.com,United Arab Emirates,F,Mrs.,269-066-5953x833
c000014,Rebecca,Horton,"880 Jeffery Pines Apt. 304
South Stephanietown, NH 90149-5985",jacqueline89@lloyd.net,Cocos (Keeling) Islands,F,Mrs.,1-520-889-1625x043
c000015,Maria,Glover,"PSC 0899, Box 0089
APO AA 94380-5216",simmonsmark@landry.com,Kuwait,F,Mrs.,927-135-3814x4832
